product_id,product_name,category,unit_price,change_date
PROD00025,Wool Sweater,Apparel,11347.14,2026-04-27
PROD00144,Non-stick Pan,Home & Kitchen,10717.69,2026-04-27
PROD00186,Resistance Bands,Sports,7939.55,2026-04-27
PROD00187,Cotton T-Shirt,Apparel,20322.8,2026-04-27
PROD00094,Noise Cancelling Headphones,Electronics,2228.66,2026-04-27
PROD00169,Bedsheet Set,Home & Kitchen,11612.68,2026-04-27
PROD00246,Bluetooth Speaker,Electronics,5924.12,2026-04-27
PROD00255,Laptop Stand,Electronics,24533.57,2026-04-27
PROD00145,Wool Sweater,Apparel,12334.89,2026-04-27
PROD00008,Denim Jacket,Apparel,11116.34,2026-04-27
PROD00248,Formal Shirt,Apparel,378.35,2026-04-27
PROD00154,Bluetooth Speaker,Electronics,11007.15,2026-04-27
PROD00161,Air Fryer,Home & Kitchen,20657.99,2026-04-27
PROD00173,Children's Storybook,Books,1515.51,2026-04-27
PROD00131,Running Shoes,Apparel,14888.98,2026-04-27
PROD00003,Formal Shirt,Apparel,4297.77,2026-04-27
PROD00059,Table Lamp,Home & Kitchen,14711.6,2026-04-27
PROD00082,Wireless Mouse,Electronics,14461.31,2026-04-27
PROD00192,Non-stick Pan,Home & Kitchen,4924.11,2026-04-27
PROD00206,Dumbbell Set,Sports,13601.39,2026-04-27
PROD00252,Bluetooth Speaker,Electronics,222.81,2026-04-27
PROD00062,Table Lamp,Home & Kitchen,20349.77,2026-04-27
PROD00026,Cricket Bat,Sports,10006.24,2026-04-27
PROD00100,Yoga Mat,Sports,19070.03,2026-04-27
PROD00279,Wool Sweater,Apparel,1731.99,2026-04-27
PROD00251,Graphic Novel,Books,13230.09,2026-04-27
PROD00238,Cookbook,Books,7640.41,2026-04-27
PROD00263,Running Shoes,Apparel,15616.0,2026-04-27
PROD00227,Noise Cancelling Headphones,Electronics,21264.71,2026-04-27
PROD00017,Laptop Stand,Electronics,3557.95,2026-04-27
PROD00106,Vacuum Cleaner,Home & Kitchen,2010.68,2026-04-27
PROD00293,Laptop Stand,Electronics,5383.68,2026-04-27
PROD00014,Graphic Novel,Books,11606.38,2026-04-27
PROD00054,Wool Sweater,Apparel,10703.47,2026-04-27
PROD00111,Running Shoes,Apparel,12876.36,2026-04-27
PROD00022,Graphic Novel,Books,13858.43,2026-04-27
PROD00188,Air Fryer,Home & Kitchen,4779.61,2026-04-27
PROD00033,Wool Sweater,Apparel,15205.47,2026-04-27
PROD00277,Cricket Bat,Sports,7210.61,2026-04-27
PROD00209,Formal Shirt,Apparel,19794.23,2026-04-27
