order_id,customer_id,order_date,status,region_code
1,65,2025-09-23 09:58:23,DELIVERED,NORTH
2,109,2024-07-09 16:01:39,DELIVERED,CENTRAL
3,449,2023-05-15 09:08:54,CANCELLED,NORTH
4,226,2025-01-06 07:32:29,DELIVERED,CENTRAL
5,148,2024-04-03 05:35:39,CANCELLED,EAST
6,569,2023-01-18 07:42:35,PLACED,CENTRAL
7,561,2025-07-15 20:54:23,DELIVERED,EAST
8,525,2023-11-25 22:07:31,SHIPPED,CENTRAL
9,186,2024-01-28 14:53:47,DELIVERED,NORTH
10,563,02-05-2025,DELIVERED,EAST
11,595,2023-06-02 13:15:03,DELIVERED,SOUTH
12,103,2025-11-08 19:42:45,PLACED,SOUTH
13,337,2024-05-08 15:55:06,DELIVERED,CENTRAL
14,374,2023-08-25 17:41:45,RETURNED,SOUTH
15,227,2023-01-08 12:08:44,DELIVERED,EAST
16,340,2024-07-12 10:36:34,DELIVERED,EAST
17,112,2024-04-19 12:48:50,DELIVERED,EAST
18,202,2023-08-06 11:38:25,CANCELLED,NORTH
19,520,2023-04-28 03:06:50,CANCELLED,CENTRAL
20,218,2024-09-21 08:30:27,DELIVERED,CENTRAL
21,153,2025-04-18 08:37:16,SHIPPED,CENTRAL
22,514,2024-03-28 01:14:06,DELIVERED,CENTRAL
23,170,2023-01-17 10:53:11,SHIPPED,SOUTH
24,580,2023-10-06 07:00:59,RETURNED,WEST
25,,2024-07-11 08:52:02,SHIPPED,EAST
26,212,2024-07-27 21:32:31,DELIVERED,WEST
27,48,30-12-2024,DELIVERED,NORTH
28,281,2025-12-29 05:11:20,DELIVERED,CENTRAL
29,388,2025-06-04 17:06:40,DELIVERED,NORTH
30,229,2025-03-13 14:35:20,DELIVERED,EAST
31,7,2025-01-26 07:30:52,SHIPPED,SOUTH
32,288,2023-12-24 06:40:38,SHIPPED,EAST
33,122,2025-07-24 04:56:33,DELIVERED,EAST
34,491,2023-06-26 01:34:22,DELIVERED,WEST
35,131,2023-02-04 20:50:56,SHIPPED,CENTRAL
36,151,02-03-2023,DELIVERED,SOUTH
37,578,2025-03-13 13:45:39,CANCELLED,EAST
38,483,2023-05-14 04:56:09,SHIPPED,WEST
39,597,2025-07-22 08:53:27,SHIPPED,CENTRAL
40,351,2024-02-15 22:02:47,DELIVERED,NORTH
41,136,2023-12-24 00:04:44,SHIPPED,CENTRAL
42,154,2025-11-29 03:04:55,SHIPPED,CENTRAL
43,,2025-07-20 18:40:45,DELIVERED,NORTH
44,134,2023-05-25 18:22:25,DELIVERED,NORTH
45,535,2025-11-20 02:31:35,CANCELLED,CENTRAL
46,494,2024-10-28 08:38:55,DELIVERED,CENTRAL
47,436,2025-12-18 07:08:31,DELIVERED,SOUTH
48,557,2023-05-11 04:56:45,SHIPPED,NORTH
49,533,16-06-2025,DELIVERED,EAST
50,159,2024-09-27 02:50:57,DELIVERED,EAST
51,375,2025-04-12 19:26:20,RETURNED,WEST
52,571,2023-11-13 10:15:00,DELIVERED,CENTRAL
53,315,2025-01-21 11:53:09,DELIVERED,WEST
54,122,2023-08-03 11:34:02,DELIVERED,SOUTH
55,411,2023-06-05 18:39:28,CANCELLED,CENTRAL
56,54,2025-12-18 20:11:01,RETURNED,NORTH
57,483,2023-05-22 12:01:42,DELIVERED,NORTH
58,82,2024-02-13 16:46:50,DELIVERED,WEST
59,294,2025-08-11 18:17:46,DELIVERED,SOUTH
60,11,2025-09-21 15:47:25,DELIVERED,CENTRAL
61,523,2024-03-20 07:05:44,SHIPPED,SOUTH
62,,2025-11-13 01:27:01,PLACED,SOUTH
63,410,2023-05-15 21:44:04,DELIVERED,CENTRAL
64,71,2023-11-08 04:06:44,DELIVERED,CENTRAL
65,284,2025-06-24 13:17:44,RETURNED,WEST
66,268,2024-09-19 12:35:19,DELIVERED,CENTRAL
67,349,2023-04-23 10:44:40,CANCELLED,EAST
68,589,2025-04-15 14:29:30,DELIVERED,WEST
69,250,2025-05-24 20:26:50,RETURNED,WEST
70,29,2025-11-24 19:41:28,DELIVERED,WEST
71,226,2025-09-11 08:37:26,SHIPPED,EAST
72,529,2024-10-02 16:21:16,DELIVERED,EAST
73,409,2024-01-21 15:42:52,CANCELLED,NORTH
74,488,2025-05-11 11:10:42,SHIPPED,CENTRAL
75,195,2024-02-22 23:52:20,SHIPPED,SOUTH
76,208,2024-02-17 07:01:46,CANCELLED,EAST
77,123,2023-08-31 07:56:10,DELIVERED,WEST
78,,2025-08-11 13:07:42,RETURNED,WEST
79,505,2024-07-30 15:12:35,CANCELLED,CENTRAL
80,524,2024-03-02 18:47:23,SHIPPED,CENTRAL
81,434,2023-07-19 05:21:20,DELIVERED,CENTRAL
82,179,2024-06-23 11:52:15,SHIPPED,CENTRAL
83,9,15-12-2024,SHIPPED,CENTRAL
84,266,2023-06-06 12:09:04,DELIVERED,EAST
85,352,2025-01-02 05:01:43,DELIVERED,SOUTH
86,382,2024-10-13 00:55:02,DELIVERED,WEST
87,590,2023-10-07 10:45:23,CANCELLED,EAST
88,391,2024-01-02 07:27:14,CANCELLED,SOUTH
89,181,2025-01-04 18:14:03,SHIPPED,CENTRAL
90,499,2025-04-09 12:18:49,DELIVERED,CENTRAL
91,168,16-03-2023,CANCELLED,WEST
92,343,2025-09-05 10:57:55,DELIVERED,CENTRAL
93,422,2024-02-05 08:18:18,CANCELLED,CENTRAL
94,552,2023-11-06 01:41:45,DELIVERED,EAST
95,500,2024-05-20 00:14:39,DELIVERED,NORTH
96,475,2024-08-14 23:21:23,SHIPPED,SOUTH
97,346,2025-09-22 02:34:39,DELIVERED,WEST
98,352,2023-04-21 19:54:00,DELIVERED,EAST
99,405,2024-02-20 12:05:36,DELIVERED,EAST
100,462,2025-06-30 17:57:18,SHIPPED,NORTH
101,258,2023-07-14 05:49:32,DELIVERED,NORTH
102,106,2023-11-24 02:40:27,RETURNED,WEST
103,407,2025-05-01 23:05:31,RETURNED,NORTH
104,87,2024-02-12 16:55:46,CANCELLED,EAST
105,291,2023-12-23 07:00:35,SHIPPED,CENTRAL
106,,2023-09-23 00:43:36,CANCELLED,EAST
107,554,2025-01-09 16:20:07,DELIVERED,SOUTH
108,468,2025-12-19 17:15:57,DELIVERED,CENTRAL
109,547,2024-11-06 17:07:54,DELIVERED,CENTRAL
110,453,2023-12-19 19:57:43,DELIVERED,SOUTH
111,,2024-04-16 14:01:07,DELIVERED,SOUTH
112,548,18-06-2024,RETURNED,WEST
113,,2024-04-10 10:17:23,DELIVERED,SOUTH
114,194,2023-01-12 05:06:21,DELIVERED,WEST
115,400,2024-01-24 04:48:09,SHIPPED,NORTH
116,530,2024-10-17 22:13:30,RETURNED,EAST
117,545,2024-03-18 05:31:20,DELIVERED,NORTH
118,114,2023-10-11 08:37:57,DELIVERED,EAST
