product_id,product_name,category,unit_price,change_date
PROD00284,Air Fryer,Home & Kitchen,12946.57,2026-04-24
PROD00166,Graphic Novel,Books,10533.15,2026-04-24
PROD00108,Laptop Stand,Electronics,3993.25,2026-04-24
PROD00102,Wireless Mouse,Electronics,19673.87,2026-04-24
PROD00289,Resistance Bands,Sports,14645.94,2026-04-24
PROD00177,Bedsheet Set,Home & Kitchen,3529.73,2026-04-24
PROD00222,Dumbbell Set,Sports,8263.26,2026-04-24
PROD00268,Denim Jacket,Apparel,17690.7,2026-04-24
PROD00095,Noise Cancelling Headphones,Electronics,16478.84,2026-04-24
PROD00118,Wool Sweater,Apparel,15704.6,2026-04-24
PROD00230,Resistance Bands,Sports,12871.67,2026-04-24
PROD00039,Bedsheet Set,Home & Kitchen,20482.36,2026-04-24
PROD00246,Air Fryer,Home & Kitchen,248.23,2026-04-24
PROD00191,Formal Shirt,Apparel,18871.24,2026-04-24
PROD00245,Cricket Bat,Sports,23239.65,2026-04-24
PROD00202,Non-stick Pan,Home & Kitchen,7736.89,2026-04-24
PROD00113,Laptop Stand,Electronics,20513.13,2026-04-24
PROD00186,USB-C Charger,Electronics,11438.9,2026-04-24
PROD00078,Dumbbell Set,Sports,16890.41,2026-04-24
PROD00045,Cotton T-Shirt,Apparel,10668.78,2026-04-24
PROD00054,Noise Cancelling Headphones,Electronics,19552.84,2026-04-24
PROD00161,Yoga Mat,Sports,17901.43,2026-04-24
PROD00048,Wireless Mouse,Electronics,22993.24,2026-04-24
PROD00110,Wool Sweater,Apparel,12529.57,2026-04-24
PROD00018,Laptop Stand,Electronics,11180.2,2026-04-24
PROD00074,USB-C Charger,Electronics,23338.51,2026-04-24
PROD00156,Running Shoes,Apparel,16385.01,2026-04-24
PROD00218,Dumbbell Set,Sports,14591.46,2026-04-24
PROD00201,Self-Help Guide,Books,10742.75,2026-04-24
PROD00155,Cricket Bat,Sports,14982.93,2026-04-24
PROD00293,Denim Jacket,Apparel,12446.67,2026-04-24
PROD00296,Coffee Maker,Home & Kitchen,13303.58,2026-04-24
PROD00168,Denim Jacket,Apparel,1104.33,2026-04-24
PROD00164,Running Shoes,Apparel,6089.05,2026-04-24
PROD00215,Table Lamp,Home & Kitchen,5684.35,2026-04-24
PROD00263,Running Shoes,Apparel,6175.3,2026-04-24
PROD00234,Laptop Stand,Electronics,16697.74,2026-04-24
PROD00033,USB-C Charger,Electronics,18983.56,2026-04-24
PROD00135,Formal Shirt,Apparel,11107.88,2026-04-24
PROD00120,Running Shoes,Apparel,11230.11,2026-04-24
