product_id,product_name,category,unit_price,change_date
PROD00154,Running Shoes,Apparel,13860.27,2026-04-26
PROD00220,Biography,Books,11782.33,2026-04-26
PROD00247,Air Fryer,Home & Kitchen,11420.23,2026-04-26
PROD00132,Rain Jacket,Apparel,5232.78,2026-04-26
PROD00050,Rain Jacket,Apparel,19754.6,2026-04-26
PROD00271,Graphic Novel,Books,15503.36,2026-04-26
PROD00042,Cricket Bat,Sports,11063.2,2026-04-26
PROD00227,Laptop Stand,Electronics,9887.39,2026-04-26
PROD00265,Noise Cancelling Headphones,Electronics,21646.52,2026-04-26
PROD00044,Wool Sweater,Apparel,505.49,2026-04-26
PROD00027,Yoga Mat,Sports,20124.22,2026-04-26
PROD00196,USB-C Charger,Electronics,15151.11,2026-04-26
PROD00278,Table Lamp,Home & Kitchen,13758.21,2026-04-26
PROD00275,Air Fryer,Home & Kitchen,22280.22,2026-04-26
PROD00001,Cotton T-Shirt,Apparel,22615.27,2026-04-26
PROD00225,Cookbook,Books,14618.82,2026-04-26
PROD00218,Children's Storybook,Books,19116.08,2026-04-26
PROD00024,Cookbook,Books,7892.33,2026-04-26
PROD00097,Bluetooth Speaker,Electronics,21636.14,2026-04-26
PROD00065,Football,Sports,1547.45,2026-04-26
PROD00300,Bluetooth Speaker,Electronics,11645.48,2026-04-26
PROD00128,Formal Shirt,Apparel,11146.71,2026-04-26
PROD00187,Coffee Maker,Home & Kitchen,4318.7,2026-04-26
PROD00127,Resistance Bands,Sports,13110.5,2026-04-26
PROD00155,Vacuum Cleaner,Home & Kitchen,19962.49,2026-04-26
PROD00235,Wool Sweater,Apparel,10258.47,2026-04-26
PROD00071,Smartwatch,Electronics,6082.16,2026-04-26
PROD00176,Fiction Novel,Books,6946.25,2026-04-26
PROD00142,Bedsheet Set,Home & Kitchen,19525.4,2026-04-26
PROD00087,Dumbbell Set,Sports,8398.22,2026-04-26
PROD00256,USB-C Charger,Electronics,12645.41,2026-04-26
PROD00035,Children's Storybook,Books,19447.58,2026-04-26
PROD00129,Bluetooth Speaker,Electronics,8943.92,2026-04-26
PROD00167,Coffee Maker,Home & Kitchen,1479.23,2026-04-26
PROD00223,Self-Help Guide,Books,9059.76,2026-04-26
PROD00222,Wireless Mouse,Electronics,20811.07,2026-04-26
PROD00282,Laptop Stand,Electronics,2153.6,2026-04-26
PROD00062,Dumbbell Set,Sports,13162.1,2026-04-26
PROD00140,Denim Jacket,Apparel,24509.42,2026-04-26
PROD00231,Noise Cancelling Headphones,Electronics,22022.17,2026-04-26
