product_id,product_name,category,unit_price,change_date
PROD00001,Bluetooth Speaker,Electronics,13833.71,2026-04-23
PROD00056,Wool Sweater,Apparel,20326.11,2026-04-23
PROD00096,Children's Storybook,Books,20221.74,2026-04-23
PROD00257,Bluetooth Speaker,Electronics,1668.09,2026-04-23
PROD00263,Running Shoes,Apparel,15830.56,2026-04-23
PROD00002,Children's Storybook,Books,17739.84,2026-04-23
PROD00048,Smartwatch,Electronics,9946.82,2026-04-23
PROD00149,Running Shoes,Apparel,2262.27,2026-04-23
PROD00123,Yoga Mat,Sports,23597.37,2026-04-23
PROD00156,USB-C Charger,Electronics,23461.02,2026-04-23
PROD00063,Resistance Bands,Sports,7841.04,2026-04-23
PROD00274,USB-C Charger,Electronics,3574.34,2026-04-23
PROD00089,Table Lamp,Home & Kitchen,13775.49,2026-04-23
PROD00145,Yoga Mat,Sports,17932.26,2026-04-23
PROD00184,Cotton T-Shirt,Apparel,3375.17,2026-04-23
PROD00097,Air Fryer,Home & Kitchen,13300.64,2026-04-23
PROD00284,Wireless Mouse,Electronics,11235.21,2026-04-23
PROD00266,Dumbbell Set,Sports,2875.65,2026-04-23
PROD00207,Bluetooth Speaker,Electronics,11700.62,2026-04-23
PROD00237,Table Lamp,Home & Kitchen,19801.47,2026-04-23
PROD00246,Laptop Stand,Electronics,3793.66,2026-04-23
PROD00079,Denim Jacket,Apparel,12149.34,2026-04-23
PROD00081,Football,Sports,7615.7,2026-04-23
PROD00153,Dumbbell Set,Sports,8834.77,2026-04-23
PROD00104,Noise Cancelling Headphones,Electronics,20970.29,2026-04-23
PROD00120,Cookbook,Books,18839.09,2026-04-23
PROD00295,Cricket Bat,Sports,3449.88,2026-04-23
PROD00007,USB-C Charger,Electronics,15731.42,2026-04-23
PROD00203,Biography,Books,5298.91,2026-04-23
PROD00290,Wireless Mouse,Electronics,19720.17,2026-04-23
PROD00162,Cotton T-Shirt,Apparel,8023.62,2026-04-23
PROD00157,Coffee Maker,Home & Kitchen,22874.83,2026-04-23
PROD00082,Cycling Helmet,Sports,7067.19,2026-04-23
PROD00085,Biography,Books,13816.2,2026-04-23
PROD00115,Bedsheet Set,Home & Kitchen,1926.95,2026-04-23
PROD00049,Bluetooth Speaker,Electronics,11356.07,2026-04-23
PROD00011,Rain Jacket,Apparel,12086.47,2026-04-23
PROD00045,Self-Help Guide,Books,8333.5,2026-04-23
PROD00090,Smartwatch,Electronics,12212.95,2026-04-23
PROD00161,Cycling Helmet,Sports,9281.31,2026-04-23
